날짜,홈,어웨이,예측,확률,배당,결과,켈리 비율,진입,자본금 변화,날짜별 초기 잔액,잔액
11/21,LA Clippers,Orlando Magic,Orlando Magic,0.512,1.57,패,0.0,0.0,0.0,737.782647,842.5477828
11/22,Charlotte Hornets,Detroit Pistons,Detroit Pistons,0.564,1.89,패,0.07411235955,62.44320422,-62.44320422,842.5477828,780.1045786
11/22,Toronto Raptors,Minnesota Timberwolves,Minnesota Timberwolves,0.612,1.34,패,0.0,0.0,0.0,842.5477828,780.1045786
11/22,San Antonio Spurs,Utah Jazz,San Antonio Spurs,0.776,1.68,승,0.1,84.25477828,57.29324923,842.5477828,837.3978278
11/22,Los Angeles Lakers,Orlando Magic,Los Angeles Lakers,0.611,1.52,패,0.0,0.0,0.0,842.5477828,837.3978278
11/23,Philadelphia 76ers,Brooklyn Nets,Brooklyn Nets,0.541,2.48,패,0.1,83.73978278,-83.73978278,837.3978278,753.658045
11/23,Washington Wizards,Boston Celtics,Boston Celtics,0.662,1.07,승,0.0,0.0,0.0,837.3978278,753.658045
11/23,New Orleans Pelicans,Golden State Warriors,Golden State Warriors,0.749,1.2,승,0.0,0.0,0.0,837.3978278,753.658045
11/23,Milwaukee Bucks,Indiana Pacers,Milwaukee Bucks,0.573,1.45,승,0.0,0.0,0.0,837.3978278,753.658045
11/23,Chicago Bulls,Atlanta Hawks,Atlanta Hawks,0.569,1.86,패,0.0678372093,56.80673172,-56.80673172,837.3978278,696.8513133
11/23,Houston Rockets,Portland Trail Blazers,Houston Rockets,0.716,1.12,승,0.0,0.0,0.0,837.3978278,696.8513133
11/23,Denver Nuggets,Dallas Mavericks,Dallas Mavericks,0.568,2.42,승,0.1,83.73978278,118.9104916,837.3978278,815.7618049
11/23,LA Clippers,Sacramento Kings,Sacramento Kings,0.535,1.64,패,0.0,0.0,0.0,837.3978278,815.7618049
11/24,Utah Jazz,New York Knicks,New York Knicks,0.754,1.29,패,0.0,0.0,0.0,815.7618049,815.7618049
11/24,Orlando Magic,Detroit Pistons,Orlando Magic,0.66,1.22,승,0.0,0.0,0.0,815.7618049,815.7618049
11/24,Chicago Bulls,Memphis Grizzlies,Memphis Grizzlies,0.674,1.51,승,0.03478431373,28.37571455,14.47161442,815.7618049,830.2334193
11/24,Houston Rockets,Portland Trail Blazers,Houston Rockets,0.773,1.12,패,0.0,0.0,0.0,815.7618049,830.2334193
11/24,Milwaukee Bucks,Charlotte Hornets,Milwaukee Bucks,0.641,1.34,승,0.0,0.0,0.0,815.7618049,830.2334193
11/24,San Antonio Spurs,Golden State Warriors,San Antonio Spurs,0.534,2.28,승,0.1,81.57618049,104.417511,815.7618049,934.6509303
11/24,Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,0.72,1.54,패,0.1,81.57618049,-81.57618049,815.7618049,853.0747498
11/25,Boston Celtics,Minnesota Timberwolves,Boston Celtics,0.695,1.25,승,0.0,0.0,0.0,853.0747498,853.0747498
11/25,Indiana Pacers,Washington Wizards,Indiana Pacers,0.712,1.13,승,0.0,0.0,0.0,853.0747498,853.0747498
11/25,Philadelphia 76ers,LA Clippers,LA Clippers,0.642,1.77,승,0.1,85.30747498,65.68675574,853.0747498,918.7615056
11/25,Miami Heat,Dallas Mavericks,Dallas Mavericks,0.588,2.24,패,0.1,85.30747498,-85.30747498,853.0747498,833.4540306
11/25,Cleveland Cavaliers,Toronto Raptors,Cleveland Cavaliers,0.841,1.15,승,0.0,0.0,0.0,853.0747498,833.4540306
11/25,Sacramento Kings,Brooklyn Nets,Sacramento Kings,0.686,1.24,패,0.0,0.0,0.0,853.0747498,833.4540306
11/26,Charlotte Hornets,Orlando Magic,Orlando Magic,0.565,1.48,승,0.0,0.0,0.0,833.4540306,833.4540306
11/26,Indiana Pacers,New Orleans Pelicans,Indiana Pacers,0.712,1.43,승,0.04223255814,35.1988958,15.1355252,833.4540306,848.5895558
11/26,Detroit Pistons,Toronto Raptors,Detroit Pistons,0.653,1.48,승,0.0,0.0,0.0,833.4540306,848.5895558
11/26,Atlanta Hawks,Dallas Mavericks,Atlanta Hawks,0.519,1.69,패,0.0,0.0,0.0,833.4540306,848.5895558
11/26,Boston Celtics,LA Clippers,Boston Celtics,0.72,1.2,승,0.0,0.0,0.0,833.4540306,848.5895558
11/26,Memphis Grizzlies,Portland Trail Blazers,Memphis Grizzlies,0.72,1.21,승,0.0,0.0,0.0,833.4540306,848.5895558
11/26,Denver Nuggets,New York Knicks,New York Knicks,0.554,2.44,승,0.1,83.34540306,120.0173804,833.4540306,968.6069362
11/26,Sacramento Kings,Oklahoma City Thunder,Oklahoma City Thunder,0.566,1.54,승,0.0,0.0,0.0,833.4540306,968.6069362
11/26,Golden State Warriors,Brooklyn Nets,Golden State Warriors,0.782,1.11,패,0.0,0.0,0.0,833.4540306,968.6069362
11/27,Washington Wizards,Chicago Bulls,Chicago Bulls,0.5713489651679993,1.51,승,0.0,0.0,0.0,968.6069362,968.6069362
11/27,Miami Heat,Milwaukee Bucks,Miami Heat,0.5433902144432068,1.75,패,0.0,0.0,0.0,968.6069362,968.6069362
11/27,Minnesota Timberwolves,Houston Rockets,Houston Rockets,0.5275548696517944,2.28,승,0.1,96.86069362,124.3816878,968.6069362,1092.988624
11/27,Utah Jazz,San Antonio Spurs,San Antonio Spurs,0.6825711131095886,1.74,승,0.1,109.2988624,74.32322085,1092.988624,1167.311845
11/27,Phoenix Suns,Los Angeles Lakers,Phoenix Suns,0.5265825986862183,1.77,승,0.0,0.0,0.0,1167.311845,1167.311845
11/28,Washington Wizards,LA Clippers,LA Clippers,67.30963588,1.17,승,0.0,0.0,0.0,1167.311845,1167.311845
11/28,Orlando Magic,Chicago Bulls,Orlando Magic,70.74679136,1.24,승,0.0,0.0,0.0,1167.311845,1167.311845
11/28,Charlotte Hornets,Miami Heat,Miami Heat,54.94819283,1.62,승,0.0,0.0,0.0,1167.311845,1167.311845
11/28,Philadelphia 76ers,Houston Rockets,Houston Rockets,63.38128448,1.47,승,0.0,0.0,0.0,1167.311845,1167.311845
11/28,Cleveland Cavaliers,Atlanta Hawks,Cleveland Cavaliers,75.69226623,1.2,패,0.0,0.0,0.0,1167.311845,1167.311845
